order_id,customer_id,product_id,order_date,amount,status
1,5,18,2025-09-10,514.56,cancelled
2,55,48,2025-09-10,-1.94,returned
3,4,10,2025-09-10,1014.62,completed
4,59,1,2025-09-10,1600.95,pending
5,10,9,2025-09-10,1344.76,returned
6,65,4,2025-09-10,488.54,pending
7,38,41,2025-09-10,1393.08,pending
8,50,16,2025-09-10,628.9,cancelled
9,13,26,2025-09-10,724.07,pending
10,47,42,2025-09-10,1411.96,cancelled
11,51,34,2025-09-10,1014.76,pending
12,17,27,2025-09-10,-269.42,cancelled
13,47,31,2025-09-10,1001.45,completed
14,3,44,2025-09-10,455.65,completed
15,48,24,2025-09-10,1049.52,completed
16,37,49,2025-09-10,1833.09,returned
17,39,34,,1320.43,completed
18,28,42,2025-09-10,710.04,returned
19,37,23,2025-09-10,1830.55,returned
20,42,39,2025-09-10,1251.09,pending
21,14,1,2025-09-10,703.54,returned
22,27,15,2025-09-10,676.54,completed
23,7,1,2025-09-10,302.94,pending
24,8,20,2025-09-10,-76.0,completed
25,23,35,2025-09-10,259.14,pending
26,9,14,2025-09-10,471.65,completed
27,16,44,2025-09-10,241.85,returned
28,35,3,2025-09-10,1202.04,pending
29,53,38,2025-09-10,1265.03,completed
30,68,31,2025-09-10,184.45,cancelled
31,40,20,2025-09-10,1620.38,cancelled
32,14,50,2025-09-10,749.72,pending
33,68,15,2025-09-10,715.29,pending
34,58,33,,1504.8,returned
35,18,37,2025-09-10,1916.43,completed
36,48,25,2025-09-10,-1270.38,cancelled
37,58,35,2025-09-10,77.27,completed
38,13,6,2025-09-10,130.96,returned
39,32,43,2025-09-10,774.6,pending
40,43,3,2025-09-10,752.92,pending
41,56,13,2025-09-10,985.93,cancelled
42,40,17,2025-09-10,-36.06,completed
43,2,42,2025-09-10,1000.04,cancelled
44,3,40,2025-09-10,1996.0,pending
45,2,7,2025-09-10,218.91,returned
46,34,14,2025-09-10,1825.77,pending
47,17,22,2025-09-10,1789.77,cancelled
48,41,31,2025-09-10,-579.43,cancelled
49,2,31,2025-09-10,181.58,completed
50,18,44,2025-09-10,592.55,cancelled
51,41,34,,1249.22,pending
52,16,47,2025-09-10,1919.79,pending
53,26,6,2025-09-10,134.64,cancelled
54,14,36,2025-09-10,758.23,cancelled
55,57,8,2025-09-10,1299.63,completed
56,22,38,2025-09-10,1878.47,cancelled
57,36,3,2025-09-10,292.54,returned
58,13,36,2025-09-10,762.39,cancelled
59,42,20,2025-09-10,1863.74,cancelled
60,53,47,2025-09-10,-977.05,cancelled
61,5,20,2025-09-10,844.98,completed
62,26,17,2025-09-10,1152.87,returned
63,27,45,2025-09-10,194.36,cancelled
64,69,46,2025-09-10,935.15,pending
65,1,31,2025-09-10,1622.85,returned
66,40,29,2025-09-10,391.39,cancelled
67,56,13,2025-09-10,1803.85,cancelled
68,67,48,,-6.96,completed
69,25,45,2025-09-10,315.78,completed
70,44,21,2025-09-10,521.43,completed
71,58,13,2025-09-10,429.69,completed
72,52,5,2025-09-10,-68.37,cancelled
73,8,38,2025-09-10,1567.83,returned
74,38,1,2025-09-10,1790.27,returned
75,17,27,2025-09-10,584.73,completed
76,40,2,2025-09-10,1573.46,completed
77,65,44,2025-09-10,1026.26,completed
78,23,7,2025-09-10,1796.96,completed
79,27,29,2025-09-10,1157.37,returned
80,58,44,2025-09-10,860.62,cancelled
81,16,14,2025-09-10,191.29,cancelled
82,58,9,2025-09-10,784.46,returned
83,61,25,2025-09-10,649.08,pending
84,4,11,2025-09-10,-311.68,completed
85,61,12,,1419.8,returned
86,52,25,2025-09-10,1198.35,completed
87,10,28,2025-09-10,1059.84,cancelled
88,18,14,2025-09-10,130.68,completed
89,52,44,2025-09-10,1148.28,returned
90,29,38,2025-09-10,1873.17,completed
91,3,14,2025-09-10,1905.8,completed
92,9,36,2025-09-10,1122.46,completed
93,67,41,2025-09-10,173.51,cancelled
94,50,1,2025-09-10,1719.48,cancelled
95,44,12,2025-09-10,858.46,returned
96,48,1,2025-09-10,-1335.95,completed
97,23,25,2025-09-10,201.53,pending
98,37,3,2025-09-10,1160.02,cancelled
99,16,42,2025-09-10,1864.65,cancelled
